dataset,model,calibrator,ece_uncal_mean,ece_cal_mean,ece_pct_change,t_stat,p_value,verdict,n_folds
Breast Cancer,Decision Tree,Platt,0.0662184585983204,0.0444181549517136,-32.921792666372575,-5.772298435055823,0.00026865260695344614,HELPS,10
Breast Cancer,Decision Tree,Isotonic,0.0662184585983204,0.0662184585983204,0.0,,,NO_EFFECT,10
Breast Cancer,Decision Tree,Beta,0.0662184585983204,0.06751298724310607,1.9549362401173553,0.8972274056433214,0.3929655703189483,NO_EFFECT,10
Breast Cancer,Gradient Boosting,Platt,0.04045315655516395,0.04402312934950464,8.824954832566645,0.8242956832494759,0.43107420773069094,NO_EFFECT,10
Breast Cancer,Gradient Boosting,Isotonic,0.04045315655516395,0.04016558067356211,-0.7108861361898589,-1.1915037250435623,0.263927897759153,NO_EFFECT,10
Breast Cancer,Gradient Boosting,Beta,0.04045315655516395,0.03958886768415183,-2.1365177519176437,-0.38918188361709133,0.7061896640181301,NO_EFFECT,10
Breast Cancer,Logistic Regression,Platt,0.03935655480508889,0.04363946770818829,10.882336943135073,0.7396121900506119,0.4783822679072188,NO_EFFECT,10
Breast Cancer,Logistic Regression,Isotonic,0.03935655480508889,0.027813571104150288,-29.329253432127324,-4.616891672405755,0.0012599010541133769,HELPS,10
Breast Cancer,Logistic Regression,Beta,0.03935655480508889,0.0328472910785256,-16.539211216022466,-2.4778799274672925,0.03511336690036699,HELPS,10
Breast Cancer,MLP,Platt,0.08079907025071259,0.07487623641670751,-7.3303242421317805,-1.398249958497259,0.19553628937675244,NO_EFFECT,10
Breast Cancer,MLP,Isotonic,0.08079907025071259,0.04385284074016178,-45.726057732978646,-8.775158927175193,1.0496269906446635e-05,HELPS,10
Breast Cancer,MLP,Beta,0.08079907025071259,0.05978220192192431,-26.011274960930542,-5.637935651459892,0.00031845879256995783,HELPS,10
Breast Cancer,Random Forest,Platt,0.06851256549938778,0.06348302277286753,-7.341051513485053,-1.2465704497638859,0.24402211217254732,NO_EFFECT,10
Breast Cancer,Random Forest,Isotonic,0.06851256549938778,0.04505543208479228,-34.23770989104927,-4.334157064868509,0.0018935609459107927,HELPS,10
Breast Cancer,Random Forest,Beta,0.06851256549938778,0.04539989516329698,-33.73493631076671,-5.919596111058028,0.0002235797428685085,HELPS,10
Breast Cancer,SVM (RBF),Platt,0.04015592885222033,0.04768411915654238,18.747394269042772,1.566034176610392,0.15178202298252988,NO_EFFECT,10
Breast Cancer,SVM (RBF),Isotonic,0.04015592885222033,0.03019096611582469,-24.8156698679992,-2.7439201416750456,0.022701496854805908,HELPS,10
Breast Cancer,SVM (RBF),Beta,0.04015592885222033,0.036113744740499595,-10.066219926319132,-2.1801346208309584,0.057161944332489535,NO_EFFECT,10
Cleveland Heart,Decision Tree,Platt,0.2318337153003965,0.20128365778202348,-13.177573192401315,-2.8517629250806733,0.01903437434576348,HELPS,10
Cleveland Heart,Decision Tree,Isotonic,0.2318337153003965,0.2318337153003965,0.0,,,NO_EFFECT,10
Cleveland Heart,Decision Tree,Beta,0.2318337153003965,0.23561951982404863,1.632982725893295,0.9850041122560134,0.35036000944832246,NO_EFFECT,10
Cleveland Heart,Gradient Boosting,Platt,0.21919804184849595,0.19878933385136796,-9.310625142917095,-5.703135766268917,0.00029314212561254796,HELPS,10
Cleveland Heart,Gradient Boosting,Isotonic,0.21919804184849595,0.21562446445858496,-1.6302962196993342,-0.42505362069389785,0.680779525273893,NO_EFFECT,10
Cleveland Heart,Gradient Boosting,Beta,0.21919804184849595,0.2122164791304489,-3.185047940744168,-1.116294071849088,0.29321172107837395,NO_EFFECT,10
Cleveland Heart,Logistic Regression,Platt,0.17875984804301712,0.1862280113859968,4.1777633091199196,0.6808907812121138,0.5130758686444908,NO_EFFECT,10
Cleveland Heart,Logistic Regression,Isotonic,0.17875984804301712,0.13852007590710239,-22.510520442057746,-4.224039203446998,0.0022261243263580624,HELPS,10
Cleveland Heart,Logistic Regression,Beta,0.17875984804301712,0.1793853599516781,0.34991745378438743,0.12461193379284635,0.9035696684488146,NO_EFFECT,10
Cleveland Heart,MLP,Platt,0.2016485699933727,0.19087443143862734,-5.343027503294195,-1.3450279676898413,0.21152570182438155,NO_EFFECT,10
Cleveland Heart,MLP,Isotonic,0.2016485699933727,0.1542350086585173,-23.512966809739176,-2.7730566807658232,0.02164506447305314,HELPS,10
Cleveland Heart,MLP,Beta,0.2016485699933727,0.19085642747140566,-5.351955891540272,-0.8542326785531126,0.41513436906604684,NO_EFFECT,10
Cleveland Heart,Random Forest,Platt,0.19921075430478918,0.19108260370659166,-4.0801766082174336,-0.7560373524366162,0.46895242984141294,NO_EFFECT,10
Cleveland Heart,Random Forest,Isotonic,0.19921075430478918,0.18040692376188586,-9.439164370681397,-1.1771247566185246,0.2693371066157835,NO_EFFECT,10
Cleveland Heart,Random Forest,Beta,0.19921075430478918,0.18393140983751297,-7.669939567569262,-0.9711184476105029,0.35686316894465775,NO_EFFECT,10
Cleveland Heart,SVM (RBF),Platt,0.17791578562076432,0.16441293611550217,-7.5894611926364375,-1.7283584798520575,0.1179886151399183,NO_EFFECT,10
Cleveland Heart,SVM (RBF),Isotonic,0.17791578562076432,0.1318394439187324,-25.897837868218044,-4.153212923545144,0.002472538005349402,HELPS,10
Cleveland Heart,SVM (RBF),Beta,0.17791578562076432,0.16341346135312815,-8.151229648924208,-1.412334719357524,0.1914823772974212,NO_EFFECT,10
Early Diabetes,Decision Tree,Platt,0.04787220865426182,0.042583822415715705,-11.04688166100587,-0.8248185834204654,0.43079225324302717,NO_EFFECT,10
Early Diabetes,Decision Tree,Isotonic,0.04787220865426182,0.04787220865426182,0.0,,,NO_EFFECT,10
Early Diabetes,Decision Tree,Beta,0.04787220865426182,0.048732151226018795,1.7963294277219877,2.015216405269311,0.07469660023735757,NO_EFFECT,10
Early Diabetes,Gradient Boosting,Platt,0.03280975345475888,0.03501866983840678,6.732499184103147,0.562009772006718,0.5878306093269121,NO_EFFECT,10
Early Diabetes,Gradient Boosting,Isotonic,0.03280975345475888,0.022492704542694412,-31.445066864920424,-2.328912986453907,0.04482684549933662,HELPS,10
Early Diabetes,Gradient Boosting,Beta,0.03280975345475888,0.023581512316026412,-28.126517779102546,-2.3546948687649216,0.04297327987669924,HELPS,10
Early Diabetes,Logistic Regression,Platt,0.0879537830616616,0.09770906867486753,11.091376940963205,2.0233456510857164,0.07372263569605791,NO_EFFECT,10
Early Diabetes,Logistic Regression,Isotonic,0.0879537830616616,0.06614943836430255,-24.79068430981839,-4.274343968801519,0.0020670672875996964,HELPS,10
Early Diabetes,Logistic Regression,Beta,0.0879537830616616,0.08023689616523262,-8.773797587556764,-2.7857358076185044,0.02120107332547819,HELPS,10
Early Diabetes,MLP,Platt,0.15361641720388797,0.120230470576983,-21.73331941637029,-3.9415483776103826,0.0033979723947980657,HELPS,10
Early Diabetes,MLP,Isotonic,0.15361641720388797,0.06155492921495061,-59.929459145469075,-6.893554173439448,7.117967570317002e-05,HELPS,10
Early Diabetes,MLP,Beta,0.15361641720388797,0.1022327807103152,-33.44931318465372,-4.607603740002643,0.0012766416605918863,HELPS,10
Early Diabetes,Random Forest,Platt,0.06445054565820076,0.05764439393509106,-10.560270132086414,-1.7515543485563243,0.11376511181462345,NO_EFFECT,10
Early Diabetes,Random Forest,Isotonic,0.06445054565820076,0.01747113292240749,-72.89218773249526,-6.802783909363599,7.880643440897348e-05,HELPS,10
Early Diabetes,Random Forest,Beta,0.06445054565820076,0.02357811281080635,-63.41673670871979,-7.954054783461902,2.3176497894069784e-05,HELPS,10
Early Diabetes,SVM (RBF),Platt,0.04179032364916889,0.04523993995806801,8.254581462107735,0.8120057294642252,0.4377372426242473,NO_EFFECT,10
Early Diabetes,SVM (RBF),Isotonic,0.04179032364916889,0.02816350769087969,-32.60758656163269,-3.8841384200790348,0.003707932613249774,HELPS,10
