dataset,model,calibrator,fold,n_samples,prevalence,auc,brier,ece,mce,log_loss
Pima Diabetes,Logistic Regression,Uncalibrated,0,768,0.3489583333333333,0.8214814814814815,0.16137504785401688,0.13995429219004252,0.6269432617845592,0.47920558880984604
Pima Diabetes,Logistic Regression,Platt,0,768,0.3489583333333333,0.8214814814814815,0.16412135215074994,0.12785119298589623,0.6242526370190532,0.4949580628850904
Pima Diabetes,Logistic Regression,Isotonic,0,768,0.3489583333333333,0.8196296296296296,0.16724320499063974,0.13370796466538626,0.3571428571428571,0.48248019479145776
Pima Diabetes,Logistic Regression,Beta,0,768,0.3489583333333333,0.8214814814814815,0.164991195357645,0.12049585630491838,0.6394668145148612,0.48431290527773413
Pima Diabetes,Logistic Regression,Uncalibrated,1,768,0.3489583333333333,0.8237037037037037,0.1678991685915568,0.13010488195285055,0.4653531492489382,0.5213147475887088
Pima Diabetes,Logistic Regression,Platt,1,768,0.3489583333333333,0.8237037037037037,0.16831461367727316,0.13671390716512966,0.38518086792376915,0.50972353335053
Pima Diabetes,Logistic Regression,Isotonic,1,768,0.3489583333333333,0.8251851851851852,0.16843329685511793,0.0926765068391324,0.49999998999999995,0.6920570505894019
Pima Diabetes,Logistic Regression,Beta,1,768,0.3489583333333333,0.8237037037037037,0.16433082404298407,0.09424596997957516,0.4574031777405584,0.4932737997868692
Pima Diabetes,Logistic Regression,Uncalibrated,2,768,0.3489583333333333,0.8096296296296297,0.16913431891947808,0.08392085940492983,0.4098323271208095,0.5173482486081266
Pima Diabetes,Logistic Regression,Platt,2,768,0.3489583333333333,0.8096296296296297,0.16845751194938224,0.12185668161245934,0.5252689079835837,0.513268615233021
Pima Diabetes,Logistic Regression,Isotonic,2,768,0.3489583333333333,0.8125925925925925,0.16568585380632928,0.07247591546784987,0.31034482758620685,0.5021189269144466
Pima Diabetes,Logistic Regression,Beta,2,768,0.3489583333333333,0.8096296296296297,0.16838955124829802,0.1302861952467188,0.5817201201123843,0.5071991272545253
Pima Diabetes,Logistic Regression,Uncalibrated,3,768,0.3489583333333333,0.9244444444444444,0.11716160422813,0.15387793525596502,0.6422057487335673,0.3714098440322931
Pima Diabetes,Logistic Regression,Platt,3,768,0.3489583333333333,0.9244444444444444,0.12314827205535546,0.16239176417925238,0.6375054573319339,0.39855460123356934
Pima Diabetes,Logistic Regression,Isotonic,3,768,0.3489583333333333,0.9096296296296296,0.12206212021222207,0.0634306656916173,0.4444444444444444,0.3704953273170686
Pima Diabetes,Logistic Regression,Beta,3,768,0.3489583333333333,0.9244444444444444,0.1147566642159663,0.14267531134857733,0.6604904401455093,0.3636111401384617
Pima Diabetes,Logistic Regression,Uncalibrated,4,768,0.3489583333333333,0.8222222222222223,0.1579800380900614,0.12754698051279614,0.5977922958789389,0.48709144973835306
Pima Diabetes,Logistic Regression,Platt,4,768,0.3489583333333333,0.8222222222222223,0.15847606636443048,0.13145639088365646,0.5918907282222841,0.4893567724970501
Pima Diabetes,Logistic Regression,Isotonic,4,768,0.3489583333333333,0.8244444444444444,0.1607697453954903,0.12049943080203829,0.29166666666666663,0.693104780919264
Pima Diabetes,Logistic Regression,Beta,4,768,0.3489583333333333,0.8222222222222223,0.1573228958192563,0.10732623404381872,0.2882735597597743,0.4918989235379449
Pima Diabetes,Logistic Regression,Uncalibrated,5,768,0.3489583333333333,0.8814814814814815,0.13927034788466344,0.12520849750185944,0.5812846470246689,0.42202761658577215
Pima Diabetes,Logistic Regression,Platt,5,768,0.3489583333333333,0.8814814814814815,0.14373424696799844,0.14914380702830474,0.7290451307107445,0.44355632435884695
Pima Diabetes,Logistic Regression,Isotonic,5,768,0.3489583333333333,0.8911111111111112,0.13534650057474062,0.09764138607624767,0.6437930269708977,0.40470085908441383
Pima Diabetes,Logistic Regression,Beta,5,768,0.3489583333333333,0.8814814814814815,0.1357816212330582,0.1826281110609034,0.5264921115641366,0.4090578518231852
Pima Diabetes,Logistic Regression,Uncalibrated,6,768,0.3489583333333333,0.8303703703703703,0.16192913664551062,0.10770775313642991,0.8608801635225481,0.4862703483402869
Pima Diabetes,Logistic Regression,Platt,6,768,0.3489583333333333,0.8303703703703703,0.16460506183780105,0.11110959888466192,0.4575835964666506,0.49993748390080295
Pima Diabetes,Logistic Regression,Isotonic,6,768,0.3489583333333333,0.8285185185185185,0.1602354328759821,0.08712080523249457,0.4049525071787149,0.47236030792474326
Pima Diabetes,Logistic Regression,Beta,6,768,0.3489583333333333,0.8303703703703703,0.1593380826800636,0.11345546501853357,0.406497906898442,0.47757018392399037
Pima Diabetes,Logistic Regression,Uncalibrated,7,768,0.3489583333333333,0.8503703703703704,0.1516798350606214,0.11000386992177913,0.4167474523449791,0.4523568449040537
Pima Diabetes,Logistic Regression,Platt,7,768,0.3489583333333333,0.8503703703703704,0.15527529096441475,0.14130685619171535,0.6536183849490425,0.47097953287850564
Pima Diabetes,Logistic Regression,Isotonic,7,768,0.3489583333333333,0.8566666666666667,0.14385545710215575,0.05310030658633464,0.09262435677530018,0.4397589211642198
Pima Diabetes,Logistic Regression,Beta,7,768,0.3489583333333333,0.8503703703703704,0.15313559172034316,0.13207788522392983,0.5799059323650149,0.45586214824727417
Pima Diabetes,Logistic Regression,Uncalibrated,8,768,0.3489583333333333,0.8807692307692307,0.14324861143709985,0.16195050401622957,0.7005533586959845,0.43950114600999063
Pima Diabetes,Logistic Regression,Platt,8,768,0.3489583333333333,0.8807692307692307,0.14350453089415569,0.18341821324491916,0.6965766397319036,0.4485496764763774
